subject,script,column1,column2,stimuli,repetition,correlation,p_value,degrees_of_freedom
sub-00033,br,checkingTime,frequency,all,1,0.0027964020120781973,0.9891829150250393,24
sub-00033,br,readingTime,frequency,all,2,-0.13265211877778849,0.5182830066567681,24
sub-00033,br,checkingTime,frequency,all,2,-0.0845400937427685,0.6813604106980823,24
sub-00033,br,readingTime,frequency,all,3,-0.0953152203676919,0.643243652697967,24
sub-00033,br,checkingTime,frequency,all,3,0.06612614786144498,0.7482504219221073,24
sub-00033,br,readingTime,frequency,all,4,0.22247607171757466,0.27466581447698474,24
sub-00033,br,checkingTime,frequency,all,4,0.27904186379960744,0.1674435136957555,24
sub-00033,br,readingTime,frequency,all,5,0.17593324622647163,0.3899534551645729,24
sub-00033,br,checkingTime,frequency,all,5,-0.2677285390847591,0.18606659917537682,24
sub-00033,br,readingTime,frequency,all,6,-0.06742742327208504,0.7434581474559829,24
sub-00033,br,checkingTime,frequency,all,6,0.261882870551523,0.19623025838133698,24
