subject,script,session,woord,tested,response,score,readingTime,checkingTime,writingTime
sub-00004,cb,3,koffie,0,,False,4.931799999952318,1.002999999999986,
sub-00004,cb,3,aflopen,0,,False,7.978999999999985,0.6013999998569943,
sub-00004,cb,3,sufferd,0,,False,9.988,0.5592999999523158,
sub-00004,cb,3,geluid,0,,False,4.932400000095356,0.4690000000000509,
sub-00004,cb,3,kanjer,0,,False,5.879799999952411,0.435099999904537,
sub-00004,cb,3,vreten,0,,False,14.511399999856962,0.6259999999999764,
sub-00004,cb,3,schat,0,,False,3.739300000190724,0.5593999998569643,
sub-00004,cb,3,vervoer,0,,False,4.79040000009536,4.043299999952296,
sub-00004,cb,3,excuus,0,,False,5.232000000000085,0.5682000000476819,
sub-00004,cb,3,lust,0,,False,5.373000000000047,0.508599999904618,
sub-00004,cb,3,opzicht,0,,False,5.398099999904616,0.6172000000476601,
sub-00004,cb,3,bleek,0,,False,3.149200000047699,0.4682000000476591,
sub-00004,cb,3,uitlaat,0,,False,5.131599999904552,0.4514000000954183,
sub-00004,cb,3,koppen,0,,False,4.715299999952322,0.5347999999523836,
sub-00004,cb,3,hier,0,,False,5.081600000143112,0.5844999999999345,
sub-00004,cb,3,piste,0,,False,2.9157999999522417,1.2482999999523372,
sub-00004,cb,3,toegeven,1,toegeven,True,,0.5974999999999682,14.615299999952413
sub-00004,cb,3,stof,1,staf,False,,0.5471999998092087,4.048400000095398
sub-00004,cb,3,twijfel,0,,False,12.858799999952224,1.6586000001431105,
sub-00004,cb,3,slapen,0,,False,5.104800000190721,2.8246999998092406,
sub-00004,cb,3,toeval,0,,False,5.078299999952264,0.7853999998569634,
sub-00004,cb,3,innemen,0,,False,7.747799999952235,0.553799999952389,
sub-00004,cb,3,trekker,0,,False,9.931099999904632,0.8077000000477028,
sub-00004,cb,3,strekken,0,,False,10.846799999952282,0.7199000000954356,
sub-00004,cb,3,driemaal,0,,False,14.29509999990455,0.5041000001431257,
sub-00004,cb,3,flits,0,,False,11.061599999904615,1.2047999999523429,
sub-00004,cb,3,huisdier,0,,False,10.862799999952358,1.072499999999991,
sub-00004,cb,3,ziek,0,,False,4.865299999952299,0.5677000000476937,
sub-00004,cb,3,attentie,0,,False,9.431699999809323,0.43620000004762,
sub-00004,cb,3,gezond,0,,False,7.846499999999992,0.4512000000477201,
sub-00004,cb,3,palm,0,,False,7.823400000095376,0.5414000000953365,
sub-00004,cb,3,jaar,0,,False,9.008700000047725,0.8582999999523508,
sub-00004,cb,3,soda,0,,False,7.431200000047738,0.4349999999999454,
sub-00004,cb,3,steel,0,,False,2.963899999856949,0.6171000001429547,
sub-00004,cb,3,poes,0,,False,3.839500000000044,0.4947999999523063,
sub-00004,cb,3,woning,0,,False,4.978300000190757,0.4682999999522508,
sub-00004,cb,3,groen,1,groen,True,,0.530099999904678,4.999200000047722
sub-00004,cb,3,smullen,0,,False,7.493499999999926,0.435100000143052,
